,,t1,n2,n3,n4
20181113,1935,68.03,93.45,89.55,73.44
20181113,1940,71.6,95.57,93.38,79.32
20181113,1945,72.7,94.67,91.53,72.81
20181113,1950,72.24,95.46,93.76,76.17
20181113,1955,74.3,91.32,94.12,75.26
20181113,2000,72.09,93.79,94.86,57.06
20181113,2005,74.24,96.08,95.41,62.59
20181113,2010,78.98,96.98,96.68,73.17
20181113,2015,78.08,95.18,96.36,70.18
20181113,2020,74.15,94.47,97.35,68
20181113,2025,78.52,95.71,98.42,67.7
20181113,2030,78.3,95.33,97.21,67.85
20181113,2035,79.23,95.29,97.77,67.9
20181113,2040,78.42,96.21,98.41,75.66
20181113,2045,79.58,94.59,97.86,84.49
20181113,2050,84.65,94.95,97.36,82.3
20181113,2055,82.96,94.7,98.18,67.81
20181113,2100,85.42,92.64,99.09,78.88
20181113,2105,88.25,94.8,98.1,83.2
20181113,2110,91.19,94.69,98.9,85.3
20181113,2115,93.55,96.22,99.64,94.72
20181113,2120,93.81,94.29,100,97.72
20181113,2125,94.46,92.92,98.97,89.23
20181113,2130,93.2,91.84,97.4,97.39
20181113,2135,96.64,92.49,96.55,91.93
20181113,2140,95.12,95.08,98.85,97.67
20181113,2145,97.72,95.48,99.43,94.73
20181113,2150,97.62,93.61,99.71,96.39
20181113,2155,96,96.15,99.8,96.2
20181113,2200,93.62,95.83,102.71,95.84
20181113,2205,98.35,97,100.65,95.35
20181113,2210,97.39,95.93,99.26,95.64
20181113,2215,98.9,95.81,102.05,100
20181113,2220,98.04,95.91,99.39,99.62
20181113,2225,98.1,97.12,100.66,98.27
20181113,2230,98.59,96.56,97.85,99.66
20181113,2235,97.61,97.83,98.18,100.45
20181113,2240,100.58,97.93,101.61,104.92
20181113,2245,101.75,99.71,98.83,104.79
20181113,2250,99.5,100.01,98.9,100.66
20181113,2255,99.45,99.62,99.82,101.9
20181113,2300,99.21,98.67,99.76,101.2
20181113,2305,100.6,100.32,96.92,101.47
20181113,2310,101.73,96.93,102.27,102.13
20181113,2315,101.62,100.41,100.68,103.61
20181113,2320,99.83,97.51,99.53,103.7
20181113,2325,98.75,102.02,98.36,102.57
20181113,2330,99.81,100.18,98.99,103.47
20181113,2335,100.87,101.39,98.57,106.53
20181113,2340,103.93,100.57,99.12,106.26
20181113,2345,104.36,100.87,97.21,108.19
20181113,2350,103.6,96.19,98.98,105.56
20181113,2355,103.24,99.76,99.42,110.45
20181114,0,105.72,99.98,97.5,104.5
20181114,5,104.68,101.76,97.8,104.06
20181114,10,105.91,100.21,96.08,106.53
20181114,15,105.08,102.39,97,105.17
20181114,20,105.71,100.59,94.29,108.43
20181114,25,104.74,105.01,95.63,108.37
20181114,30,106.54,97.91,93.58,111.05
20181114,35,105.9,99.85,92.66,109.09
20181114,40,103.02,100.86,94.75,106.38
20181114,45,104.79,101.32,92.44,108.26
20181114,50,106.21,95.97,95.79,108.61
20181114,55,107.93,95.4,95.46,115.7
20181114,100,105.19,94.73,96.26,103.69
20181114,105,103.32,97.38,95.12,107.79
20181114,110,106.78,96.71,94.66,107.23
20181114,115,105.46,94.22,96.31,108.21
20181114,120,103.45,93.02,94.33,106.51
20181114,125,104.83,96,95.31,103.75
20181114,130,102.61,93.25,95.08,104.67
20181114,135,102.78,96.71,92.61,107.82
20181114,140,105.58,95.41,92.14,105.53
20181114,145,104.95,94.11,91.39,110.77
20181114,150,102.91,90.06,95.58,104.05
20181114,155,103.59,93.11,93.23,111.76
20181114,200,103.29,95.45,95.16,105.4
20181114,205,101.01,92.72,94.11,105.47
20181114,210,101.65,90.95,91.46,104.46
20181114,215,97.73,93.55,91.85,100.14
20181114,220,98.55,91.69,90.56,100.91
20181114,225,101,94.16,94.23,100.99
20181114,230,95.12,90.05,95.22,100.04
20181114,235,103.35,92.7,95.48,106.05
20181114,240,103.06,93.6,94.79,103.51
20181114,245,99.81,92.81,93.75,100.72
20181114,250,102.73,88.95,90.34,102.33
20181114,255,96.39,90.71,90.61,103.44
20181114,300,98.71,89.72,90.53,99.06
20181114,305,96.41,92.81,92.78,98.31
20181114,310,98.21,93.85,90.34,94.78
20181114,315,100.83,92.35,92.85,97.89
20181114,320,97.82,93.19,92.26,98.51
20181114,325,99.31,92.56,92.96,102.26
20181114,330,95.87,92.71,88.55,95.76
